Match ID,Radiant 1,Radiant 2,Radiant 3,Radiant 4,Radiant 5,Dire 1,Dire 2,Dire 3,Dire 4,Dire 5,Wins,
2707580412,Morphling ,Tinker,Centaur Warrunner,Drow Ranger,Shadow Demon,Anti-Mage,Mirana,Timbersaw,Nyx Assassin,Disruptor,Dire,
2707598647,Juggernaut,Tinker,Slardar,Legion Commander,Mirana,Spectre,Invoker,Spirit Breaker,Warlock,Lion,Dire,
2707599661,Sven,Invoker,Legion Commander,Mirana,Elder Titan,Slark,Tinker,Timbersaw,Shadow Demon,Bounty Hunter,Radiant,
2707610592,Slark,Drow Ranger,Magnus,Bloodseeker,Crystal Maiden,Sven,Tinker,Legion Commander,Juggernaut,Zeus,Radiant,
2707619464,Phantom Assassin,Tinker,Huskar,Leshrac,Omniknight,Clinkz,Juggernaut,Bristleback,Wraith King,Lion,Dire,
2707609264,Juggernaut,Invoker,Phoenix,Legion Commander,Pudge,Sven,Shadow Fiend,Clockwerk,Ogre Magi,Venomancer,Dire,
2707601326,Clinkz,Storm Spirit,Slardar,Mirana,Skywrath Mage,Morphling,Sniper,Invoker,Bounty Hunter,Vengeful Spirit,Radiant,
2707598740,Sven,Tinker,Slark,Legion Commander,Pudge,Anti-Mage,Invoker,Sand King,Ursa,Dazzle,Dire,
2707606387,Luna,Juggernaut,Phoenix,Legion Commander,Zeus,Sniper,Necrophos,Nyx Assassin,Bloodseeker,Dazzle,Radiant,
2707624683,Drow Ranger,Storm Spirit,Abaddon,Nature's Prophet,Mirana,Slark,Tinker,Dark Seer,Pudge,Vengeful Spirit,Dire,
2707612146,Luna,Outworld Devourer,Underlord,Kunkka,Shadow Demon,Drow Ranger,Razor,Timbersaw,Treant Protector,Warlock,Radiant,
2707592008,Drow Ranger,Invoker,Timbersaw,Vengeful Spirit,Shadow Demon,Slark,Kunkka,Phoenix,Pudge,Bounty Hunter,Dire,
2707607788,Morphling ,Shadow Fiend,Bounty Hunter,Pudge,Bane,Anti-Mage,Necrophos,Faceless Void,Skywrath Mage,Treant Protector,Radiant,
2707578688,Drow Ranger,Outworld Devourer,Windranger,Pudge,Vengeful Spirit,Phantom Assassin,Shadow Fiend,Clockwerk,Winter Wyvern,Earthshaker,Radiant,
2707609426,Drow Ranger,Medusa,Slardar,Spirit Breaker,Crystal Maiden,Sven,Zeus,Nyx Assassin,Pudge,Disruptor,Dire,
2707618296,Lifestealer,Morphling,Axe,Batrider,Keeper of the Light,Slark,Ember Spirit,Underlord,Pudge,Phoenix,Dire,
2707630606,Sven,Outworld Devourer,Axe,Nyx Assassin,Oracle,Slark,Sniper,Pudge,Beastmaster,Omniknight,Dire,
2707631161,Anti-Mage,Invoker,Nyx Assassin,Pudge,Oracle,Morphling,Slardar,Timbersaw,Shadow Shaman,Silencer,Radiant,
2707619249,Spectre,Lina,Centaur Warrunner,Necrophos,Pudge,Faceless Void,Invoker,Phoenix,Sand King,Shadow Demon,Radiant,
2707620450,Sniper,Tiny,Faceless Void,Sand King,Phoenix,Sven,Juggernaut,Doom,Disruptor,Riki,Dire,
2707600676,Juggernaut,Slardar,Tidehunter,Warlock,Pudge,Slark,Ember Spirit,Axe,Batrider,Lion,Radiant,
2707621850,Luna,Juggernaut,Slardar,Oracle,Crystal Maiden,Sniper,Outworld Devourer,Tidehunter,Axe,Kunkka,Dire,
2707639364,Drow Ranger,Huskar,Underlord,Pudge,Dazzle,Morphling,Sniper,Riki,Sand King,Nyx Assassin,Radiant,
2707618102,Luna,Invoker,Underlord,Pudge,Shadow Shaman,Alchemist,Tinker,Nyx Assassin,Wraith King,Keeper of the Light,Dire,
2707621458,Slark,Invoker,Axe,Mirana,Dazzle,Ursa,Tiny,Undying,Legion Commander,Shadow Shaman,Radiant,
2707612145,Drow Ranger,Storm Spirit,Timbersaw,Jakiro,Vengeful Spirit,Slark,Invoker,Batrider,Bounty Hunter,Ogre Magi,Dire,
2707598349,Morphling ,Kunkka,Nyx Assassin,Spirit Breaker,Keeper of the Light,Juggernaut,Outworld Devourer,Clockwerk,Shadow Demon,Lion,Radiant,
2707561901,Drow Ranger,Storm Spirit,Kunkka,Omniknight,Pudge,Sniper,Tinker,Batrider,Nyx Assassin,Silencer,Dire,
2707600525,Wraith King,Ember Spirit,Axe,Mirana,Undying,Slark,Zeus,Centaur Warrunner,Disruptor,Elder Titan,Dire,
2707624919,Anti-Mage,Tinker,Underlord,Shadow Shaman,Pudge,Juggernaut,Shadow Fiend,Windranger,Legion Commander,Abaddon,Dire,
2707619071,Faceless Void,Puck,Timbersaw,Chen,Disruptor,Drow Ranger,Zeus,Slardar,Vengeful Spirit,Ogre Magi,Radiant,
2707589215,Slark,Viper,Timbersaw,Dazzle,Lion,Anti-Mage,Puck,Windranger,Sand King,Pudge,Radiant,
2707629907,Lifestealer,Outworld Devourer,Slardar,Mirana,Omniknight,Slark,Invoker,Axe,Oracle,Riki,Radiant,
2707634031,Morphling ,Outworld Devourer,Underlord,Mirana,Shadow Demon,Juggernaut,Shadow Fiend,Phantom Assassin,Sand King,Kunkka,Radiant,
